epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.20816,3.15316,6.21751,2.30976,0,0,0,0,3.70498,5.28734,2.22266,5e-05,5e-05,5e-05
2,5.25145,2.83379,4.98878,1.96262,0,0,0,0,3.05317,4.69665,1.89655,0.000108911,0.000108911,0.000108911
3,7.10215,2.24809,4.66475,1.64852,0.00501,0.33333,0.12618,0.03083,1.83406,4.16105,1.55029,0.000166634,0.000166634,0.000166634
4,8.91136,1.52802,3.98539,1.29717,0.00618,0.38095,0.25725,0.16245,1.18088,3.86512,1.08054,0.000223169,0.000223169,0.000223169
5,10.7254,1.38134,3.93076,1.21599,0.0131,0.6627,0.23778,0.13878,1.1613,3.74597,1.04386,0.000278516,0.000278516,0.000278516
6,12.5074,1.32854,3.25101,1.12618,0.75344,0.16667,0.25703,0.17487,1.16863,3.37305,0.99281,0.000332675,0.000332675,0.000332675
7,14.3435,1.24282,2.92271,1.06644,0.95174,0.14286,0.33429,0.22137,1.12864,3.115,1.01955,0.000385646,0.000385646,0.000385646
8,16.1077,1.2681,2.95012,1.0771,0.93379,0.07143,0.30176,0.19709,1.10538,3.15802,1.00269,0.000437429,0.000437429,0.000437429
9,17.9147,1.37484,2.74351,1.09983,0.03041,0.73413,0.28945,0.18678,1.26801,3.34823,1.06271,0.000488024,0.000488024,0.000488024
10,19.7227,1.32115,2.28429,1.11757,0.06661,0.5119,0.24188,0.11763,1.61413,3.61468,1.26439,0.000537431,0.000537431,0.000537431
11,21.5051,1.32867,2.51158,1.1957,0.08974,0.50794,0.29006,0.17637,1.46474,3.57918,1.25468,0.00058565,0.00058565,0.00058565
12,23.2623,1.24995,1.92067,1.07414,0.66667,0.14288,0.28365,0.17676,1.41852,3.48794,1.22876,0.000632681,0.000632681,0.000632681
13,25.0569,1.17744,1.93379,1.02757,0.71403,0.2381,0.29508,0.17686,1.40007,3.22733,1.15997,0.000678524,0.000678524,0.000678524
14,26.8311,1.18551,2.00959,1.03321,0.93058,0.45238,0.67731,0.45329,1.24582,2.32901,1.02533,0.000723179,0.000723179,0.000723179
15,28.6216,1.2902,1.84469,1.09596,0.93058,0.45238,0.67731,0.45329,1.24582,2.32901,1.02533,0.000766646,0.000766646,0.000766646
16,30.414,1.24065,1.78351,1.05173,0.86013,0.43368,0.79324,0.51484,1.37734,2.32712,1.05855,0.000808925,0.000808925,0.000808925
17,32.321,1.16235,1.54061,1.00707,0.91148,0.48414,0.82095,0.54157,1.24142,2.38736,1.0375,0.0008416,0.0008416,0.0008416
18,34.193,1.23367,1.57505,1.10718,0.86659,0.72913,0.94237,0.66534,1.13537,1.81055,0.98504,0.0008317,0.0008317,0.0008317
19,36.0311,1.20649,1.50224,1.03411,0.86659,0.72913,0.94237,0.66534,1.13537,1.81055,0.98504,0.0008218,0.0008218,0.0008218
20,37.8682,1.12288,1.47808,1.03512,0.91609,0.66135,0.93925,0.64035,1.24953,1.83068,0.9987,0.0008119,0.0008119,0.0008119
21,39.7121,1.18518,1.68529,1.05516,0.89083,0.6969,0.9644,0.66003,1.19303,1.76686,0.99241,0.000802,0.000802,0.000802
22,41.5769,1.12262,1.34235,0.99603,0.8782,0.46735,0.90991,0.62637,1.19537,2.0723,1.00946,0.0007921,0.0007921,0.0007921
23,43.4306,1.16995,1.3918,1.03846,0.8782,0.46735,0.90991,0.62637,1.19537,2.0723,1.00946,0.0007822,0.0007822,0.0007822
24,45.2959,1.12647,1.44584,1.00732,0.8349,0.85406,0.9411,0.64066,1.12101,1.38366,0.9823,0.0007723,0.0007723,0.0007723
25,47.3518,1.10827,1.31942,0.97929,0.89949,0.80414,0.97232,0.71017,1.08743,1.57233,0.98545,0.0007624,0.0007624,0.0007624
26,49.4736,1.16881,1.4126,0.9929,0.9424,0.87763,0.98827,0.71928,1.08984,1.41831,0.96324,0.0007525,0.0007525,0.0007525
