epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7396,3.09036,4.67892,1.96456,0.00161,0.04762,0.00207,0.00021,2.31151,4.41276,1.43448,5e-05,5e-05,5e-05
2,23.5362,2.09445,4.42195,1.46699,0.00647,0.28571,0.03741,0.02151,1.86743,4.17002,1.17785,0.000108719,0.000108719,0.000108719
3,40.7956,1.67061,4.12686,1.2999,0.00562,0.36111,0.14319,0.08425,1.39097,4.0897,1.04947,0.00016604,0.00016604,0.00016604
4,59.3381,1.57023,3.98289,1.1905,0.00679,0.43651,0.16212,0.10465,1.41124,4.01211,1.03186,0.000221964,0.000221964,0.000221964
5,83.6212,1.30059,3.53356,1.09558,0.00784,0.46032,0.15266,0.07975,1.53338,3.87668,1.02104,0.000276489,0.000276489,0.000276489
6,106.801,1.29059,3.09631,1.05272,0.95423,0.09524,0.17317,0.09789,1.2847,3.70828,0.99735,0.000329618,0.000329618,0.000329618
7,129.793,1.31395,2.85056,1.08584,0.9863,0.16667,0.32842,0.20004,1.17066,3.40758,0.95433,0.000381348,0.000381348,0.000381348
8,152.074,1.31519,2.68442,1.06035,1,0.1186,0.4229,0.28227,1.14937,3.34296,0.94982,0.000431681,0.000431681,0.000431681
9,175.377,1.31099,2.2582,1.05619,1,0.098,0.5933,0.36155,1.18798,3.23254,0.96413,0.000480616,0.000480616,0.000480616
10,198.161,1.34163,2.1933,1.0326,1,0.24781,0.54092,0.28564,1.35672,3.31148,1.07447,0.000528154,0.000528154,0.000528154
11,221.339,1.27518,2.05106,1.02671,0.29404,0.54762,0.50021,0.26191,1.45454,3.55638,1.1549,0.000574294,0.000574294,0.000574294
12,244.614,1.30032,1.89229,1.02752,0.95879,0.32322,0.41822,0.20688,1.57964,3.66927,1.19657,0.000619036,0.000619036,0.000619036
13,267.631,1.33675,1.72678,1.03649,0.95433,0.1734,0.35224,0.1876,1.64633,3.6583,1.21177,0.000662381,0.000662381,0.000662381
14,290.334,1.28346,1.70479,1.0178,0.9535,0.2327,0.4943,0.27104,1.54881,3.24929,1.14546,0.000704328,0.000704328,0.000704328
15,313.869,1.19489,1.63439,1.02601,0.9535,0.2327,0.4943,0.27104,1.54881,3.24929,1.14546,0.000744878,0.000744878,0.000744878
16,336.544,1.31447,1.66448,1.04665,0.94261,0.18579,0.6402,0.30651,1.59701,3.07375,1.17825,0.000784029,0.000784029,0.000784029
17,359.915,1.25722,1.54851,1.02382,0.89046,0.35427,0.67058,0.37293,1.41408,2.70136,1.12019,0.000813647,0.000813647,0.000813647
